,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,dominant_topic
Doc0,0.01,0.64,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,1
Doc1,0.12,0.01,0.67,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,2
Doc2,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.72,0.01,0.01,0.01,0.01,10
Doc3,0.01,0.01,0.01,0.01,0.1,0.73,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,5
Doc4,0.09,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.57,0.01,0.01,0.01,0.18,10
Doc5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.01,0.01,0.01,0.51,14
Doc6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,10
Doc7,0.01,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.01,4
Doc8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,11
Doc9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.84,0.01,0.01,12
Doc10,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,10
Doc11,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc12,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.18,0.01,0.18,0.01,0.01,0.01,0.01,6
Doc13,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.21,0.01,0.01,0.41,0.01,0.01,0.01,0.01,10
Doc14,0.01,0.18,0.01,0.01,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
Doc15,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.52,0.02,0.02,12
Doc16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.88,0.01,0.01,0.01,11
Doc17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.41,0.21,0.01,0.01,0.01,10
Doc18,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.01,10
Doc19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.01,0.37,0.01,7
Doc20,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,14
Doc21,0.01,0.01,0.01,0.01,0.01,0.44,0.15,0.01,0.15,0.01,0.01,0.15,0.01,0.01,0.01,5
Doc22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,13
Doc23,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.01,0.01,0.18,0.01,0.01,0.34,0.01,0.01,6
Doc24,0.27,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc25,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,13
Doc26,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
Doc27,0.51,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.11,0.11,0.01,0.01,0
Doc28,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,10
Doc29,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,8
Doc30,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0
Doc31,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc32,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,9
Doc33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,12
Doc34,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,11
Doc35,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0.15,0.01,12
Doc36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.72,14
Doc37,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.68,0.01,13
Doc38,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
Doc39,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc40,0.01,0.01,0.01,0.01,0.01,0.21,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6
Doc41,0.02,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.36,4
Doc42,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.34,0.01,0.01,0.01,0.01,7
Doc43,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Doc44,0.52,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc45,0.13,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.13,0.01,0.01,0.01,0.38,0.01,0.01,12
Doc46,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.68,0.01,0.01,0.01,11
Doc47,0.01,0.13,0.01,0.01,0.01,0.01,0.15,0.01,0.25,0.01,0.13,0.01,0.01,0.26,0.01,13
Doc48,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,12
Doc49,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,4
Doc50,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,13
Doc51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.61,14
Doc52,0.01,0.01,0.19,0.01,0.1,0.01,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6
Doc53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.18,0.01,0.18,8
Doc54,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
Doc55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.01,0.01,0.01,0.51,14
Doc56,0.01,0.01,0.01,0.12,0.79,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
Doc57,0.01,0.01,0.01,0.88,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
Doc58,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.79,0.01,0.01,0.01,0.01,10
Doc59,0.01,0.01,0.13,0.15,0.01,0.01,0.01,0.01,0.62,0.01,0.01,0.01,0.01,0.01,0.01,8
Doc60,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,8
Doc61,0.01,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.01,4
Doc62,0.01,0.01,0.12,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.67,0.01,13
Doc63,0.01,0.01,0.01,0.01,0.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,4
Doc64,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.79,0.01,0.01,0.01,0.01,0.01,0.01,8
Doc65,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,4
Doc66,0.27,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0
Doc67,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Doc68,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,14
Doc69,0.02,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,4
Doc70,0.01,0.01,0.84,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc71,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,8
Doc72,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,9
Doc73,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,3
Doc74,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02,9
Doc75,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,3
Doc76,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,0.02,11
Doc77,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0
Doc78,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,12
Doc79,0.11,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.54,0.01,0.01,12
Doc80,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0
Doc81,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,6
Doc82,0.01,0.01,0.01,0.01,0.01,0.01,0.88,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6
Doc83,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6
Doc84,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.72,0.01,0.15,0.01,0.01,0.01,0.01,8
Doc85,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
Doc86,0.01,0.01,0.01,0.01,0.15,0.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5
Doc87,0.15,0.01,0.19,0.01,0.44,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,4
Doc88,0.01,0.01,0.01,0.01,0.01,0.34,0.01,0.01,0.01,0.01,0.18,0.01,0.18,0.18,0.01,5
Doc89,0.72,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Doc90,0.01,0.01,0.34,0.34,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc91,0.58,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0
Doc92,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.72,0.01,0.01,0.01,0.01,10
Doc93,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.41,12
Doc95,0.01,0.01,0.13,0.13,0.01,0.01,0.13,0.01,0.01,0.38,0.01,0.13,0.01,0.01,0.01,9
Doc96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,11
Doc97,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,0.02,11
Doc98,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,6
Doc99,0.02,0.02,0.02,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.36,0.02,6
Doc100,0.01,0.63,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,1
Doc101,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.36,0.02,0.02,0.02,2
Doc102,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.27,11
Doc103,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc104,0.18,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,9
